1,1,12760,Main
2,2,17240,Main
3,3,21720,Main
4,4,26200,Main
5,5,30680,Main
6,6,35160,Main
7,7,39640,Main
8,8,44120,Main
9,1,15950,Alaska
10,2,21550,Alaska
11,3,27150,Alaska
12,4,32750,Alaska
13,5,38350,Alaska
14,6,43950,Alaska
15,7,49550,Alaska
16,8,55150,Alaska
17,1,14680,Hawaii
18,2,19830,Hawaii
19,3,24980,Hawaii
20,4,30130,Hawaii
21,5,35280,Hawaii
22,6,40430,Hawaii
23,7,45580,Hawaii
24,8,50730,Hawaii
